	tissue_1	tissue_2	p-val	drug
24	breast	bladder	1.0	M4076
25	breast	brain	1.0	M4076
26	breast	breast	1.0	M4076
27	breast	colon	0.29832219038218416	M4076
28	breast	hematological	1.0	M4076
29	breast	liver	1.0	M4076
30	breast	lung	0.5721305068569857	M4076
31	breast	melanoma	0.1510029886011247	M4076
32	breast	ovary	1.0	M4076
33	breast	pancreas	1.0	M4076
34	breast	prostate	1.0	M4076
35	breast	sarcoma	1.0	M4076
36	colon	bladder	1.0	M4076
37	colon	brain	1.0	M4076
38	colon	breast	0.29832219038218416	M4076
39	colon	colon	1.0	M4076
40	colon	hematological	0.017316652625738376	M4076
41	colon	liver	1.0	M4076
42	colon	lung	1.0	M4076
43	colon	melanoma	1.0	M4076
44	colon	ovary	0.48604968864992804	M4076
45	colon	pancreas	1.0	M4076
46	colon	prostate	1.0	M4076
47	colon	sarcoma	0.7956334967478369	M4076
48	hematological	bladder	1.0	M4076
49	hematological	brain	1.0	M4076
50	hematological	breast	1.0	M4076
51	hematological	colon	0.017316652625738376	M4076
52	hematological	hematological	1.0	M4076
53	hematological	liver	1.0	M4076
54	hematological	lung	0.08392144850439945	M4076
55	hematological	melanoma	0.02835194815320982	M4076
56	hematological	ovary	1.0	M4076
57	hematological	pancreas	0.3778841919196919	M4076
58	hematological	prostate	1.0	M4076
59	hematological	sarcoma	1.0	M4076
60	liver	bladder	1.0	M4076
61	liver	brain	1.0	M4076
62	liver	breast	1.0	M4076
63	liver	colon	1.0	M4076
64	liver	hematological	1.0	M4076
65	liver	liver	1.0	M4076
66	liver	lung	1.0	M4076
67	liver	melanoma	1.0	M4076
68	liver	ovary	1.0	M4076
69	liver	pancreas	1.0	M4076
70	liver	prostate	1.0	M4076
71	liver	sarcoma	1.0	M4076
72	lung	bladder	1.0	M4076
73	lung	brain	1.0	M4076
74	lung	breast	0.5721305068569857	M4076
75	lung	colon	1.0	M4076
76	lung	hematological	0.08392144850439945	M4076
77	lung	liver	1.0	M4076
78	lung	lung	1.0	M4076
79	lung	melanoma	1.0	M4076
80	lung	ovary	0.7490894734962478	M4076
81	lung	pancreas	1.0	M4076
82	lung	prostate	1.0	M4076
83	lung	sarcoma	1.0	M4076
84	melanoma	bladder	1.0	M4076
85	melanoma	brain	1.0	M4076
86	melanoma	breast	0.1510029886011247	M4076
87	melanoma	colon	1.0	M4076
88	melanoma	hematological	0.02835194815320982	M4076
89	melanoma	liver	1.0	M4076
90	melanoma	lung	1.0	M4076
91	melanoma	melanoma	1.0	M4076
92	melanoma	ovary	0.19505059594964036	M4076
93	melanoma	pancreas	1.0	M4076
94	melanoma	prostate	1.0	M4076
95	melanoma	sarcoma	0.416455434403979	M4076
96	ovary	bladder	1.0	M4076
97	ovary	brain	1.0	M4076
98	ovary	breast	1.0	M4076
99	ovary	colon	0.48604968864992804	M4076
100	ovary	hematological	1.0	M4076
101	ovary	liver	1.0	M4076
102	ovary	lung	0.7490894734962478	M4076
103	ovary	melanoma	0.19505059594964036	M4076
104	ovary	ovary	1.0	M4076
105	ovary	pancreas	1.0	M4076
106	ovary	prostate	1.0	M4076
107	ovary	sarcoma	1.0	M4076
108	pancreas	bladder	1.0	M4076
109	pancreas	brain	1.0	M4076
110	pancreas	breast	1.0	M4076
111	pancreas	colon	1.0	M4076
112	pancreas	hematological	0.3778841919196919	M4076
113	pancreas	liver	1.0	M4076
114	pancreas	lung	1.0	M4076
115	pancreas	melanoma	1.0	M4076
116	pancreas	ovary	1.0	M4076
117	pancreas	pancreas	1.0	M4076
118	pancreas	prostate	1.0	M4076
119	pancreas	sarcoma	1.0	M4076
120	prostate	bladder	1.0	M4076
121	prostate	brain	1.0	M4076
122	prostate	breast	1.0	M4076
123	prostate	colon	1.0	M4076
124	prostate	hematological	1.0	M4076
125	prostate	liver	1.0	M4076
126	prostate	lung	1.0	M4076
127	prostate	melanoma	1.0	M4076
128	prostate	ovary	1.0	M4076
129	prostate	pancreas	1.0	M4076
130	prostate	prostate	1.0	M4076
131	prostate	sarcoma	1.0	M4076
132	sarcoma	bladder	1.0	M4076
133	sarcoma	brain	1.0	M4076
134	sarcoma	breast	1.0	M4076
135	sarcoma	colon	0.7956334967478369	M4076
136	sarcoma	hematological	1.0	M4076
137	sarcoma	liver	1.0	M4076
138	sarcoma	lung	1.0	M4076
139	sarcoma	melanoma	0.416455434403979	M4076
140	sarcoma	ovary	1.0	M4076
141	sarcoma	pancreas	1.0	M4076
142	sarcoma	prostate	1.0	M4076
143	sarcoma	sarcoma	1.0	M4076
0	brain	brain	1.0	THZ1
1	brain	breast	1.0	THZ1
2	brain	colon	1.0	THZ1
3	brain	hematological	1.0	THZ1
4	brain	liver	1.0	THZ1
5	brain	lung	1.0	THZ1
6	brain	melanoma	1.0	THZ1
7	brain	ovary	1.0	THZ1
8	brain	pancreas	1.0	THZ1
9	brain	prostate	1.0	THZ1
10	brain	sarcoma	1.0	THZ1
11	breast	brain	1.0	THZ1
12	breast	breast	1.0	THZ1
13	breast	colon	1.0	THZ1
14	breast	hematological	1.0	THZ1
15	breast	liver	1.0	THZ1
16	breast	lung	1.0	THZ1
17	breast	melanoma	1.0	THZ1
18	breast	ovary	1.0	THZ1
19	breast	pancreas	1.0	THZ1
20	breast	prostate	1.0	THZ1
21	breast	sarcoma	1.0	THZ1
22	colon	brain	1.0	THZ1
23	colon	breast	1.0	THZ1
24	colon	colon	1.0	THZ1
25	colon	hematological	1.0	THZ1
26	colon	liver	1.0	THZ1
27	colon	lung	1.0	THZ1
28	colon	melanoma	1.0	THZ1
29	colon	ovary	1.0	THZ1
30	colon	pancreas	1.0	THZ1
31	colon	prostate	1.0	THZ1
32	colon	sarcoma	1.0	THZ1
33	hematological	brain	1.0	THZ1
34	hematological	breast	1.0	THZ1
35	hematological	colon	1.0	THZ1
36	hematological	hematological	1.0	THZ1
37	hematological	liver	1.0	THZ1
38	hematological	lung	0.321910228216849	THZ1
39	hematological	melanoma	0.6767207408594738	THZ1
40	hematological	ovary	1.0	THZ1
41	hematological	pancreas	1.0	THZ1
42	hematological	prostate	1.0	THZ1
43	hematological	sarcoma	1.0	THZ1
44	liver	brain	1.0	THZ1
45	liver	breast	1.0	THZ1
46	liver	colon	1.0	THZ1
47	liver	hematological	1.0	THZ1
48	liver	liver	1.0	THZ1
49	liver	lung	0.06290727420154384	THZ1
50	liver	melanoma	0.1035347641607908	THZ1
51	liver	ovary	1.0	THZ1
52	liver	pancreas	0.4821333229465851	THZ1
53	liver	prostate	1.0	THZ1
54	liver	sarcoma	1.0	THZ1
55	lung	brain	1.0	THZ1
56	lung	breast	1.0	THZ1
57	lung	colon	1.0	THZ1
58	lung	hematological	0.321910228216849	THZ1
59	lung	liver	0.06290727420154384	THZ1
60	lung	lung	1.0	THZ1
61	lung	melanoma	1.0	THZ1
62	lung	ovary	0.6058323621203422	THZ1
63	lung	pancreas	1.0	THZ1
64	lung	prostate	1.0	THZ1
65	lung	sarcoma	0.03536408177322821	THZ1
66	melanoma	brain	1.0	THZ1
67	melanoma	breast	1.0	THZ1
68	melanoma	colon	1.0	THZ1
69	melanoma	hematological	0.6767207408594738	THZ1
70	melanoma	liver	0.1035347641607908	THZ1
71	melanoma	lung	1.0	THZ1
72	melanoma	melanoma	1.0	THZ1
73	melanoma	ovary	0.6966447076496097	THZ1
74	melanoma	pancreas	1.0	THZ1
75	melanoma	prostate	1.0	THZ1
76	melanoma	sarcoma	0.16310982920676528	THZ1
77	ovary	brain	1.0	THZ1
78	ovary	breast	1.0	THZ1
79	ovary	colon	1.0	THZ1
80	ovary	hematological	1.0	THZ1
81	ovary	liver	1.0	THZ1
82	ovary	lung	0.6058323621203422	THZ1
83	ovary	melanoma	0.6966447076496097	THZ1
84	ovary	ovary	1.0	THZ1
85	ovary	pancreas	1.0	THZ1
86	ovary	prostate	1.0	THZ1
87	ovary	sarcoma	1.0	THZ1
88	pancreas	brain	1.0	THZ1
89	pancreas	breast	1.0	THZ1
90	pancreas	colon	1.0	THZ1
91	pancreas	hematological	1.0	THZ1
92	pancreas	liver	0.4821333229465851	THZ1
93	pancreas	lung	1.0	THZ1
94	pancreas	melanoma	1.0	THZ1
95	pancreas	ovary	1.0	THZ1
96	pancreas	pancreas	1.0	THZ1
97	pancreas	prostate	1.0	THZ1
98	pancreas	sarcoma	0.3979703972055497	THZ1
99	prostate	brain	1.0	THZ1
100	prostate	breast	1.0	THZ1
101	prostate	colon	1.0	THZ1
102	prostate	hematological	1.0	THZ1
103	prostate	liver	1.0	THZ1
104	prostate	lung	1.0	THZ1
105	prostate	melanoma	1.0	THZ1
106	prostate	ovary	1.0	THZ1
107	prostate	pancreas	1.0	THZ1
108	prostate	prostate	1.0	THZ1
109	prostate	sarcoma	1.0	THZ1
110	sarcoma	brain	1.0	THZ1
111	sarcoma	breast	1.0	THZ1
112	sarcoma	colon	1.0	THZ1
113	sarcoma	hematological	1.0	THZ1
114	sarcoma	liver	1.0	THZ1
115	sarcoma	lung	0.03536408177322821	THZ1
116	sarcoma	melanoma	0.16310982920676528	THZ1
117	sarcoma	ovary	1.0	THZ1
118	sarcoma	pancreas	0.3979703972055497	THZ1
119	sarcoma	prostate	1.0	THZ1
120	sarcoma	sarcoma	1.0	THZ1
0	bladder	bladder	1.0	doxorubicin
1	bladder	brain	1.0	doxorubicin
2	bladder	breast	1.0	doxorubicin
3	bladder	colon	1.0	doxorubicin
4	bladder	hematological	0.07038449480496592	doxorubicin
5	bladder	liver	1.0	doxorubicin
6	bladder	lung	1.0	doxorubicin
7	bladder	melanoma	1.0	doxorubicin
8	bladder	ovary	1.0	doxorubicin
9	bladder	pancreas	1.0	doxorubicin
10	bladder	prostate	1.0	doxorubicin
11	bladder	sarcoma	0.9207330476318107	doxorubicin
12	brain	bladder	1.0	doxorubicin
13	brain	brain	1.0	doxorubicin
14	brain	breast	1.0	doxorubicin
15	brain	colon	1.0	doxorubicin
16	brain	hematological	0.021317270335331973	doxorubicin
17	brain	liver	1.0	doxorubicin
18	brain	lung	1.0	doxorubicin
19	brain	melanoma	1.0	doxorubicin
20	brain	ovary	1.0	doxorubicin
21	brain	pancreas	1.0	doxorubicin
22	brain	prostate	1.0	doxorubicin
23	brain	sarcoma	0.3017002243046129	doxorubicin
24	breast	bladder	1.0	doxorubicin
25	breast	brain	1.0	doxorubicin
26	breast	breast	1.0	doxorubicin
27	breast	colon	1.0	doxorubicin
28	breast	hematological	0.1629817228310847	doxorubicin
29	breast	liver	1.0	doxorubicin
30	breast	lung	1.0	doxorubicin
31	breast	melanoma	1.0	doxorubicin
32	breast	ovary	1.0	doxorubicin
33	breast	pancreas	1.0	doxorubicin
34	breast	prostate	1.0	doxorubicin
35	breast	sarcoma	1.0	doxorubicin
36	colon	bladder	1.0	doxorubicin
37	colon	brain	1.0	doxorubicin
38	colon	breast	1.0	doxorubicin
39	colon	colon	1.0	doxorubicin
40	colon	hematological	1.9519677005651017e-06	doxorubicin
41	colon	liver	1.0	doxorubicin
42	colon	lung	1.0	doxorubicin
43	colon	melanoma	1.0	doxorubicin
44	colon	ovary	1.0	doxorubicin
45	colon	pancreas	1.0	doxorubicin
46	colon	prostate	1.0	doxorubicin
47	colon	sarcoma	0.0005524369025753056	doxorubicin
48	hematological	bladder	0.07038449480496592	doxorubicin
49	hematological	brain	0.021317270335331973	doxorubicin
50	hematological	breast	0.1629817228310847	doxorubicin
51	hematological	colon	1.9519677005651017e-06	doxorubicin
52	hematological	hematological	1.0	doxorubicin
53	hematological	liver	1.0	doxorubicin
54	hematological	lung	0.012974068389921945	doxorubicin
55	hematological	melanoma	0.08364026803780229	doxorubicin
56	hematological	ovary	0.008569379299602263	doxorubicin
57	hematological	pancreas	0.1148780491389455	doxorubicin
58	hematological	prostate	0.001855114992478057	doxorubicin
59	hematological	sarcoma	1.0	doxorubicin
60	liver	bladder	1.0	doxorubicin
61	liver	brain	1.0	doxorubicin
62	liver	breast	1.0	doxorubicin
63	liver	colon	1.0	doxorubicin
64	liver	hematological	1.0	doxorubicin
65	liver	liver	1.0	doxorubicin
66	liver	lung	1.0	doxorubicin
67	liver	melanoma	1.0	doxorubicin
68	liver	ovary	1.0	doxorubicin
69	liver	pancreas	1.0	doxorubicin
70	liver	prostate	1.0	doxorubicin
71	liver	sarcoma	1.0	doxorubicin
72	lung	bladder	1.0	doxorubicin
73	lung	brain	1.0	doxorubicin
74	lung	breast	1.0	doxorubicin
75	lung	colon	1.0	doxorubicin
76	lung	hematological	0.012974068389921945	doxorubicin
77	lung	liver	1.0	doxorubicin
78	lung	lung	1.0	doxorubicin
79	lung	melanoma	1.0	doxorubicin
80	lung	ovary	1.0	doxorubicin
81	lung	pancreas	1.0	doxorubicin
82	lung	prostate	1.0	doxorubicin
83	lung	sarcoma	0.3370035270646899	doxorubicin
84	melanoma	bladder	1.0	doxorubicin
85	melanoma	brain	1.0	doxorubicin
86	melanoma	breast	1.0	doxorubicin
87	melanoma	colon	1.0	doxorubicin
88	melanoma	hematological	0.08364026803780229	doxorubicin
89	melanoma	liver	1.0	doxorubicin
90	melanoma	lung	1.0	doxorubicin
91	melanoma	melanoma	1.0	doxorubicin
92	melanoma	ovary	1.0	doxorubicin
93	melanoma	pancreas	1.0	doxorubicin
94	melanoma	prostate	1.0	doxorubicin
95	melanoma	sarcoma	0.9062312238997803	doxorubicin
96	ovary	bladder	1.0	doxorubicin
97	ovary	brain	1.0	doxorubicin
98	ovary	breast	1.0	doxorubicin
99	ovary	colon	1.0	doxorubicin
100	ovary	hematological	0.008569379299602263	doxorubicin
101	ovary	liver	1.0	doxorubicin
102	ovary	lung	1.0	doxorubicin
103	ovary	melanoma	1.0	doxorubicin
104	ovary	ovary	1.0	doxorubicin
105	ovary	pancreas	1.0	doxorubicin
106	ovary	prostate	1.0	doxorubicin
107	ovary	sarcoma	0.2295498272979672	doxorubicin
108	pancreas	bladder	1.0	doxorubicin
109	pancreas	brain	1.0	doxorubicin
110	pancreas	breast	1.0	doxorubicin
111	pancreas	colon	1.0	doxorubicin
112	pancreas	hematological	0.1148780491389455	doxorubicin
113	pancreas	liver	1.0	doxorubicin
114	pancreas	lung	1.0	doxorubicin
115	pancreas	melanoma	1.0	doxorubicin
116	pancreas	ovary	1.0	doxorubicin
117	pancreas	pancreas	1.0	doxorubicin
118	pancreas	prostate	1.0	doxorubicin
119	pancreas	sarcoma	1.0	doxorubicin
120	prostate	bladder	1.0	doxorubicin
121	prostate	brain	1.0	doxorubicin
122	prostate	breast	1.0	doxorubicin
123	prostate	colon	1.0	doxorubicin
124	prostate	hematological	0.001855114992478057	doxorubicin
125	prostate	liver	1.0	doxorubicin
126	prostate	lung	1.0	doxorubicin
127	prostate	melanoma	1.0	doxorubicin
128	prostate	ovary	1.0	doxorubicin
129	prostate	pancreas	1.0	doxorubicin
130	prostate	prostate	1.0	doxorubicin
131	prostate	sarcoma	0.027571722660586908	doxorubicin
132	sarcoma	bladder	0.9207330476318107	doxorubicin
133	sarcoma	brain	0.3017002243046129	doxorubicin
134	sarcoma	breast	1.0	doxorubicin
135	sarcoma	colon	0.0005524369025753056	doxorubicin
136	sarcoma	hematological	1.0	doxorubicin
137	sarcoma	liver	1.0	doxorubicin
138	sarcoma	lung	0.3370035270646899	doxorubicin
139	sarcoma	melanoma	0.9062312238997803	doxorubicin
